10 Cloverfield Lane,2016-03-08,https://en.wikipedia.org/wiki/10_Cloverfield_Lane,Thriller,Dan Trachtenberg,NULL,Mary Elizabeth Winstead,John Goodman,John Gallagher,NULL,NULL,15000000.00,108300000.00
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,https://en.wikipedia.org/wiki/13_Hours:_The_Secret_Soldiers_of_Benghazi,Action,Michael Bay,NULL,James Badge Dale,John Krasinski,Toby Stephens,Pablo Schreiber,Max Martini,45000000.00,69400000.00
2 Guns,2013-08-02,https://en.wikipedia.org/wiki/2_Guns,Action,Baltasar Kormákur,NULL,Mark Wahlberg,Denzel Washington,Paula Patton,Bill Paxton,Edward James Olmos,61000000.00,131900000.00
21 Jump Street,2012-03-16,https://en.wikipedia.org/wiki/21_Jump_Street_(film),Comedy,Phil Lord,Chris Miller,Jonah Hill,Channing Tatum,Ice Cube,Brie Larson,Rob Riggle,55000000.00,201500000.00
22 Jump Street,2014-06-04,https://en.wikipedia.org/wiki/22_Jump_Street,Action,Phil Lord,Chris Miller,Channing Tatum,Jonah Hill,Ice Cube,NULL,NULL,84500000.00,331300000.00
300: Rise of an Empire,2014-03-04,https://en.wikipedia.org/wiki/300:_Rise_of_an_Empire,Action,Noam Murro,NULL,Rodrigo Santoro,Eva Green,Sullivan Stapleton,Hans Matheson,Lena Headey,110000000.00,337600000.00
42,2013-04-12,https://en.wikipedia.org/wiki/42_(film),Biography,Brian Helgeland,NULL,Harrison Ford,Chadwick Boseman,Christopher Meloni,Ryan Merriman,Andre Holland,40000000.00,97500000.00
71,2014-02-07,https://en.wikipedia.org/wiki/%252771_(film),Action,Yann Demange,NULL,Jack O'Connell,Richard Dormer,Sean Harris,Sam Reid,NULL,8100000.00,2900000.00
90 Minutes in Heaven,2015-09-11,https://en.wikipedia.org/wiki/90_Minutes_in_Heaven_(film),Drama,Michael Polish,NULL,Hayden Christensen,Kate Bosworth,Dwight Yoakam,Michael W. Smith,NULL,5000000.00,4800000.00
A Good Day to Die Hard,2013-02-14,https://en.wikipedia.org/wiki/A_Good_Day_to_Die_Hard,Action,John Moore,NULL,Bruce Willis,Jai Courtney,Sebastian Koch,Yuliya Snigir,Radivoje Bukvić,92000000.00,304700000.00
A Haunted House,2013-01-11,https://en.wikipedia.org/wiki/A_Haunted_House_(film),Comedy,Michael Tiddes,NULL,Marlon Wayans,Nick Swardson,David Koechner,Essence Atkins,Cedric the Entertainer,2500000.00,60100000.00
A Haunted House 2,2014-04-18,https://en.wikipedia.org/wiki/A_Haunted_House_2,Comedy,Michael Tiddes,NULL,Marlon Wayans,Jaime Pressly,Essence Atkins,Cedric the Entertainer,Gabriel Iglesias,4000000.00,24000000.00
A Long Way Down,2014-02-10,https://en.wikipedia.org/wiki/A_Long_Way_Down_(film),Comedy,Pascal Chaumeil,NULL,Toni Collette,Pierce Brosnan,Aaron Paul,Imogen Poots,NULL,22700000.00,7100000.00
A Most Violent Year,2014-11-06,https://en.wikipedia.org/wiki/A_Most_Violent_Year,Action,J. C. Chandor,NULL,Oscar Isaac,Jessica Chastain,Alessandro Nivola,David Oyelowo,Albert Brooks,20000000.00,12000000.00
A Most Wanted Man,2014-01-19,https://en.wikipedia.org/wiki/A_Most_Wanted_Man_(film),Thriller,Anton Corbijn,NULL,Philip Seymour Hoffman,Rachel McAdams,Robin Wright,Willem Dafoe,Grigoriy Dobrygin,15000000.00,36200000.00
A Thousand Words,2012-03-09,https://en.wikipedia.org/wiki/A_Thousand_Words_(film),Comedy,Brian Robbins,NULL,Eddie Murphy,Kerry Washington,Cliff Curtis,Clark Duke,Allison Janney,40000000.00,22000000.00
A Walk Among the Tombstones,2014-09-19,https://en.wikipedia.org/wiki/A_Walk_Among_the_Tombstones_(film),Crime,Scott Frank,NULL,Liam Neeson,Dan Stevens,Ruth Wilson,Boyd Holbrook,NULL,28000000.00,58800000.00
A Walk in the Woods,2015-01-23,https://en.wikipedia.org/wiki/A_Walk_in_the_Woods_(film),Adventure,Ken Kwapis,NULL,Robert Redford,Nick Nolte,Emma Thompson,NULL,NULL,8000000.00,36000000.00
Abraham Lincoln: Vampire Hunter,2012-06-22,https://en.wikipedia.org/wiki/Abraham_Lincoln:_Vampire_Hunter_(film),Horror,Timur Bekmambetov,NULL,Benjamin Walker,Dominic Cooper,Anthony Mackie,Mary Elizabeth Winstead,Rufus Sewell,99500000.00,116400000.00
After Earth,2013-05-31,https://en.wikipedia.org/wiki/After_Earth,Sci-Fi,M. Night Shyamalan,NULL,Jaden Smith,Will Smith,Isabelle Fuhrman,Zoe Kravitz,NULL,130000000.00,243800000.00
Ain't Them Bodies Saints,2013-08-16,https://en.wikipedia.org/wiki/Ain%2527t_Them_Bodies_Saints,Drama,David Lowery,NULL,Casey Affleck,Rooney Mara,Ben Foster,Rami Malek,Keith Carradine,4000000.00,1000000.00
Alex Cross,2012-10-19,https://en.wikipedia.org/wiki/Alex_Cross_(film),Crime,Rob Cohen,NULL,Tyler Perry,Matthew Fox,Rachel Nichols,Edward Burns,Jean Reno,35000000.00,34600000.00
Aloha,2015-05-27,https://en.wikipedia.org/wiki/Aloha_(film),Romance,Cameron Crowe,NULL,Bradley Cooper,Emma Stone,Alec Baldwin,Rachel McAdams,Bill Murray,52000000.00,26300000.00
Alvin and the Chipmunks: The Road Chip,2015-12-18,https://en.wikipedia.org/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,Comedy,Walt Becker,NULL,Jason Lee,Tony Hale,Kimberly Williams-Paisley,Josh Green,Bella Thorne,90000000.00,234800000.00
American Reunion,2012-04-06,https://en.wikipedia.org/wiki/American_Reunion,Comedy,Jon Hurwitz,NULL,Alyson Hannigan,Seann William Scott,Tara Reid,Jason Biggs,Eugene Levy,50000000.00,235000000.00
American Sniper,2014-11-11,https://en.wikipedia.org/wiki/American_Sniper,Drama,Clint Eastwood,NULL,Bradley Cooper,Sienna Miller,Max Charles,Luke Grimes,NULL,58800000.00,547400000.00
American Ultra,2015-08-21,https://en.wikipedia.org/wiki/American_Ultra,Action,Nima Nourizadeh,NULL,Jesse Eisenberg,Kristen Stewart,Connie Britton,Topher Grace,John Leguizamo,28000000.00,27100000.00
Amy,2015-06-16,https://en.wikipedia.org/wiki/Amy_(2015_film),Biography,Asif Kapadia,NULL,Amy Winehouse,Mitchell Winehouse,Janis Winehouse,Raye Cosbert,Nick Shymansky,3400000.00,22000000.00
Annabelle,2014-09-26,https://en.wikipedia.org/wiki/Annabelle_(film),Horror,John R. Leonetti,NULL,Annabelle Wallis,Alfre Woodard,Eric Ladin,Brian Howe,NULL,6500000.00,256900000.00
Annie,2014-12-07,https://en.wikipedia.org/wiki/Annie_(2014_film),Comedy,Will Gluck,NULL,Quvenzhané Wallis,Jamie Foxx,Cameron Diaz,Rose Byrne,Bobby Cannavale,65000000.00,133800000.00
Ant-Man,2015-06-29,https://en.wikipedia.org/wiki/Ant-Man_(film),Action,Peyton Reed,NULL,Paul Rudd,Evangeline Lilly,Corey Stoll,Bobby Cannavale,Michael Peña,130000000.00,519400000.00
Argo,2012-10-12,https://en.wikipedia.org/wiki/Argo_(2012_film),Drama,Ben Affleck,NULL,Ben Affleck,John Goodman,Alan Arkin,Bryan Cranston,Victor Garber,44500000.00,232300000.00
"As Above, So Below",2014-08-29,"https://en.wikipedia.org/wiki/As_Above,_So_Below_(film)",Horror,John Erick Dowdle,NULL,Drew Dowdle (screenplay)Perdita Weeks,Ben Feldman,Edwin Hodge,François Civil,Marion Lambert,5000000.00,5000000.00
Bad Moms,2016-07-29,https://en.wikipedia.org/wiki/Bad_Moms,Comedy,Jon Lucas,Scott Moore,Mila Kunis,Christina Applegate,Kristen Bell,Jada Pinkett Smith,Kathryn Hahn,20000000.00,124200000.00
Barbershop: The Next Cut,2016-04-15,https://en.wikipedia.org/wiki/Barbershop:_The_Next_Cut,Comedy,Malcolm D. Lee,NULL,Ice Cube,Cedric the Entertainer,Nicki Minaj,Regina Hall,Eve,20000000.00,55000000.00
Batman v Superman: Dawn of Justice,2016-03-19,https://en.wikipedia.org/wiki/Batman_v_Superman:_Dawn_of_Justice,Action,Zack Snyder,NULL,Ben Affleck,Henry Cavill,Amy Adams,Jesse Eisenberg,Diane Lane,250000000.00,872700000.00
Batman: The Killing Joke,2016-07-25,https://en.wikipedia.org/wiki/Batman:_The_Killing_Joke_(film),Action,Sam Liu,Bruce Timm,Kevin Conroy,Mark Hamill,Tara Strong,Ray Wise,NULL,3500000.00,4400000.00
Battle of the Year,2013-09-20,https://en.wikipedia.org/wiki/Battle_of_the_Year_(film),Musical,Benson Lee,NULL,Josh Holloway,Laz Alonso,Josh Peck,Caity Lotz,Chris Brown,20000000.00,16500000.00
Battleship,2012-05-18,https://en.wikipedia.org/wiki/Battleship_(film),Action,Peter Berg,NULL,Alexander Skarsgård,Taylor Kitsch,Brooklyn Decker,Rihanna,Liam Neeson,220000000.00,303000000.00
Beasts of the Southern Wild,2012-06-27,https://en.wikipedia.org/wiki/Beasts_of_the_Southern_Wild,Drama,Benh Zeitlin,NULL,Quvenzhané Wallis,Dwight Henry,NULL,NULL,NULL,1800000.00,21900000.00
Beautiful Creatures,2013-02-14,https://en.wikipedia.org/wiki/Beautiful_Creatures_(2013_film),Fantasy,Richard LaGravenese,NULL,Viola Davis,Alice Englert,Emma Thompson,Emmy Rossum,Jeremy Irons,60000000.00,60100000.00
Before I Go to Sleep,2014-09-04,https://en.wikipedia.org/wiki/Before_I_Go_to_Sleep_(film),Mystery,Rowan Joffé,NULL,Nicole Kidman,Mark Strong,Colin Firth,Anne-Marie Duff,NULL,22000000.00,15100000.00
Ben-Hur,2016-08-19,https://en.wikipedia.org/wiki/Ben-Hur_(2016_film),Adventure,Timur Bekmambetov,NULL,Jack Huston,Morgan Freeman,Toby Kebbell,Rodrigo Santoro,Nazanin Boniadi,100000000.00,41400000.00
Beyond the Lights,2014-09-06,https://en.wikipedia.org/wiki/Beyond_the_Lights,Romance,Gina Prince-Bythewood,NULL,Gugu Mbatha-Raw,Nate Parker,Minnie Driver,Danny Glover,NULL,7000000.00,14600000.00
Big Eyes,2014-12-25,https://en.wikipedia.org/wiki/Big_Eyes,Biography,Tim Burton,NULL,Amy Adams,Christoph Waltz,Krysten Ritter,Danny Huston,Terence Stamp,10000000.00,29300000.00
Black Mass,2015-09-04,https://en.wikipedia.org/wiki/Black_Mass_(film),Action,Scott Cooper,NULL,Johnny Depp,Joel Edgerton,Benedict Cumberbatch,Sienna Miller,Dakota Johnson,53000000.00,99800000.00
Blackhat,2015-01-08,https://en.wikipedia.org/wiki/Blackhat_(film),Action,Michael Mann,NULL,Chris Hemsworth,Viola Davis,John Ortiz,Yorick van Wageningen,Tang Wei,70000000.00,19700000.00
Blended,2014-05-23,https://en.wikipedia.org/wiki/Blended_(film),Comedy,Frank Coraci,NULL,Adam Sandler,Drew Barrymore,Bella Thorne,Emma Fuhrmann,Terry Crews,40000000.00,128000000.00
Blue Jasmine,2013-07-26,https://en.wikipedia.org/wiki/Blue_Jasmine,Drama,Woody Allen,NULL,Alec Baldwin,Cate Blanchett,Bobby Cannavale,Louis C.K.,Andrew Dice Clay,18000000.00,97500000.00
Boyhood,2014-01-19,https://en.wikipedia.org/wiki/Boyhood_(film),Drama,Richard Linklater,NULL,Ethan Hawke,Patricia Arquette,Ellar Coltrane,NULL,NULL,4000000.00,44500000.00
Brick Mansions,2014-04-23,https://en.wikipedia.org/wiki/Brick_Mansions,Action,Camille Delamarre,NULL,Paul Walker,David Belle,RZA,NULL,NULL,23000000.00,69000000.00
Bridge of Spies,2015-10-04,https://en.wikipedia.org/wiki/Bridge_of_Spies_(film),Drama,Steven Spielberg,NULL,Tom Hanks,Mark Rylance,Amy Ryan,Alan Alda,Austin Stowell,40000000.00,165500000.00
Brooklyn,2015-01-26,https://en.wikipedia.org/wiki/Brooklyn_(film),Drama,John Crowley,NULL,Saoirse Ronan,Emory Cohen,Domhnall Gleeson,Jim Broadbent,Julie Walters,11000000.00,62100000.00
Bullet to the Head,2013-02-01,https://en.wikipedia.org/wiki/Bullet_to_the_Head,Crime,Walter Hill,NULL,Sylvester Stallone,Sung Kang,Sarah Shahi,Adewale Akinnuoye-Agbaje,Religious Slater,55000000.00,21900000.00
Burnt,2015-10-06,https://en.wikipedia.org/wiki/Burnt_(film),Comedy,John Wells,NULL,Bradley Cooper,Jamie Dornan,Emma Thompson,Sienna Miller,Daniel Brühl,20000000.00,36600000.00
By the Sea,2015-11-05,https://en.wikipedia.org/wiki/By_the_Sea_(2015_film),Drama,Angelina Jolie,NULL,Angelina Jolie,Brad Pitt,Mélanie Laurent,Niels Arestrup,Melvil Poupaud,10000000.00,3300000.00
Captain America: The Winter Soldier,2014-03-13,https://en.wikipedia.org/wiki/Captain_America:_The_Winter_Soldier,Action,Anthony Russo,Joe Russo,Chris Evans,Scarlett Johansson,Sebastian Stan,Anthony Mackie,Cobie Smulders,170000000.00,714400000.00
Captive,2015-09-18,https://en.wikipedia.org/wiki/Captive_(2015_film),Crime,Jerry Jameson,NULL,David Oyelowo,Kate Mara,Michael K. Williams,Leonor Varela,Jessica Oyelowo,2000000.00,2800000.00
Carol,2015-05-17,https://en.wikipedia.org/wiki/Carol_(film),Drama,Todd Haynes,NULL,Cate Blanchett,Rooney Mara,Sarah Paulson,Kyle Chandler,Jake Lacy,11800000.00,40300000.00
Central Intelligence,2016-06-10,https://en.wikipedia.org/wiki/Central_Intelligence,Action,Rawson Marshall Thurber,NULL,Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul,NULL,50000000.00,212200000.00
Cesar Chavez,2014-02-12,https://en.wikipedia.org/wiki/Cesar_Chavez_(film),Drama,Diego Luna,NULL,Michael Peña,America Ferrera,Rosario Dawson,John Malkovich,NULL,10000000.00,6700000.00
Chappie,2015-03-04,https://en.wikipedia.org/wiki/Chappie_(film),Sci-Fi,Neill Blomkamp,NULL,Sharlto Copley,Ninja,Yolandi Visser,Dev Patel,Hugh Jackman,49000000.00,102100000.00
